Survey,Year,Quarter,Area,AphiaID,Species,LngtClass,PlusGr,Age,Sex,Maturity,IndWgt,CANoAtLngt,DateofCalculation
NS-IBTS,2005,1,1,127140,Microstomus kitt,210,-9,-9,U,-9,,3,20211124
NS-IBTS,2005,1,1,127140,Microstomus kitt,220,-9,-9,U,-9,,2,20211124
NS-IBTS,2005,1,1,127140,Microstomus kitt,230,-9,-9,U,-9,,4,20211124
NS-IBTS,2005,1,1,127140,Microstomus kitt,240,-9,-9,U,-9,,4,20211124
NS-IBTS,2005,1,1,127140,Microstomus kitt,250,-9,-9,U,-9,,9,20211124
NS-IBTS,2005,1,1,127140,Microstomus kitt,260,-9,-9,U,-9,,4,20211124
NS-IBTS,2005,1,1,127140,Microstomus kitt,270,-9,-9,U,-9,,2,20211124
NS-IBTS,2005,1,1,127140,Microstomus kitt,280,-9,-9,U,-9,,4,20211124
NS-IBTS,2005,1,1,127140,Microstomus kitt,290,-9,-9,U,-9,,4,20211124
NS-IBTS,2005,1,1,127140,Microstomus kitt,300,-9,-9,U,-9,,4,20211124
NS-IBTS,2005,1,1,127140,Microstomus kitt,310,-9,-9,U,-9,,5,20211124
NS-IBTS,2005,1,1,127140,Microstomus kitt,320,-9,-9,U,-9,,3,20211124
NS-IBTS,2005,1,1,127140,Microstomus kitt,330,-9,-9,U,-9,,5,20211124
NS-IBTS,2005,1,1,127140,Microstomus kitt,340,-9,-9,U,-9,,4,20211124
NS-IBTS,2005,1,1,127140,Microstomus kitt,350,-9,-9,U,-9,,4,20211124
NS-IBTS,2005,1,1,127140,Microstomus kitt,380,-9,-9,U,-9,,2,20211124
NS-IBTS,2005,1,7,127140,Microstomus kitt,240,-9,-9,U,-9,,1,20211124
NS-IBTS,2005,1,7,127140,Microstomus kitt,250,-9,-9,U,-9,,1,20211124
NS-IBTS,2005,1,7,127140,Microstomus kitt,270,-9,-9,U,-9,,2,20211124
NS-IBTS,2005,1,7,127140,Microstomus kitt,310,-9,-9,U,-9,,1,20211124
NS-IBTS,2006,1,1,127140,Microstomus kitt,160,-9,-9,U,-9,,4,20211124
NS-IBTS,2006,1,1,127140,Microstomus kitt,170,-9,-9,U,-9,,4,20211124
NS-IBTS,2006,1,1,127140,Microstomus kitt,180,-9,-9,U,-9,,1,20211124
NS-IBTS,2006,1,1,127140,Microstomus kitt,200,-9,-9,U,-9,,6,20211124
NS-IBTS,2006,1,1,127140,Microstomus kitt,210,-9,-9,U,-9,,5,20211124
NS-IBTS,2006,1,1,127140,Microstomus kitt,220,-9,-9,U,-9,,5,20211124
NS-IBTS,2006,1,1,127140,Microstomus kitt,230,-9,-9,U,-9,,3,20211124
NS-IBTS,2006,1,1,127140,Microstomus kitt,240,-9,-9,U,-9,,6,20211124
NS-IBTS,2006,1,1,127140,Microstomus kitt,250,-9,-9,U,-9,,9,20211124
NS-IBTS,2006,1,1,127140,Microstomus kitt,260,-9,-9,U,-9,,9,20211124
NS-IBTS,2006,1,1,127140,Microstomus kitt,270,-9,-9,U,-9,,8,20211124
NS-IBTS,2006,1,1,127140,Microstomus kitt,280,-9,-9,U,-9,,2,20211124
NS-IBTS,2006,1,1,127140,Microstomus kitt,290,-9,-9,U,-9,,5,20211124
NS-IBTS,2006,1,1,127140,Microstomus kitt,300,-9,-9,U,-9,,8,20211124
NS-IBTS,2006,1,1,127140,Microstomus kitt,310,-9,-9,U,-9,,6,20211124
NS-IBTS,2006,1,1,127140,Microstomus kitt,320,-9,-9,U,-9,,5,20211124
NS-IBTS,2006,1,1,127140,Microstomus kitt,330,-9,-9,U,-9,,3,20211124
NS-IBTS,2006,1,1,127140,Microstomus kitt,340,-9,-9,U,-9,,5,20211124
NS-IBTS,2006,1,1,127140,Microstomus kitt,350,-9,-9,U,-9,,3,20211124
NS-IBTS,2006,1,1,127140,Microstomus kitt,360,-9,-9,U,-9,,2,20211124
NS-IBTS,2006,1,1,127140,Microstomus kitt,370,-9,-9,U,-9,,2,20211124
NS-IBTS,2006,1,1,127140,Microstomus kitt,380,-9,-9,U,-9,,1,20211124
NS-IBTS,2006,1,2,127140,Microstomus kitt,210,-9,-9,U,-9,,2,20211124
NS-IBTS,2006,1,2,127140,Microstomus kitt,220,-9,-9,U,-9,,1,20211124
NS-IBTS,2006,1,2,127140,Microstomus kitt,230,-9,-9,U,-9,,3,20211124
NS-IBTS,2006,1,2,127140,Microstomus kitt,240,-9,-9,U,-9,,2,20211124
NS-IBTS,2006,1,2,127140,Microstomus kitt,250,-9,-9,U,-9,,9,20211124
NS-IBTS,2006,1,2,127140,Microstomus kitt,260,-9,-9,U,-9,,7,20211124
NS-IBTS,2006,1,2,127140,Microstomus kitt,270,-9,-9,U,-9,,10,20211124
NS-IBTS,2006,1,2,127140,Microstomus kitt,280,-9,-9,U,-9,,9,20211124
NS-IBTS,2006,1,2,127140,Microstomus kitt,290,-9,-9,U,-9,,2,20211124
NS-IBTS,2006,1,2,127140,Microstomus kitt,300,-9,-9,U,-9,,4,20211124
NS-IBTS,2006,1,2,127140,Microstomus kitt,310,-9,-9,U,-9,,3,20211124
NS-IBTS,2006,1,2,127140,Microstomus kitt,320,-9,-9,U,-9,,2,20211124
NS-IBTS,2006,1,2,127140,Microstomus kitt,330,-9,-9,U,-9,,3,20211124
NS-IBTS,2006,1,2,127140,Microstomus kitt,350,-9,-9,U,-9,,1,20211124
NS-IBTS,2006,1,2,127140,Microstomus kitt,380,-9,-9,U,-9,,1,20211124
NS-IBTS,2006,1,2,127140,Microstomus kitt,390,-9,-9,U,-9,,1,20211124
NS-IBTS,2006,1,7,127140,Microstomus kitt,210,-9,-9,U,-9,,1,20211124
NS-IBTS,2006,1,7,127140,Microstomus kitt,220,-9,-9,U,-9,,2,20211124
NS-IBTS,2006,1,7,127140,Microstomus kitt,240,-9,-9,U,-9,,2,20211124
NS-IBTS,2006,1,7,127140,Microstomus kitt,250,-9,-9,U,-9,,1,20211124
NS-IBTS,2006,1,7,127140,Microstomus kitt,260,-9,-9,U,-9,,2,20211124
NS-IBTS,2006,1,7,127140,Microstomus kitt,270,-9,-9,U,-9,,2,20211124
NS-IBTS,2006,1,7,127140,Microstomus kitt,280,-9,-9,U,-9,,2,20211124
NS-IBTS,2006,1,7,127140,Microstomus kitt,290,-9,-9,U,-9,,2,20211124
NS-IBTS,2006,1,7,127140,Microstomus kitt,300,-9,-9,U,-9,,4,20211124
NS-IBTS,2006,1,7,127140,Microstomus kitt,310,-9,-9,U,-9,,1,20211124
NS-IBTS,2006,1,7,127140,Microstomus kitt,320,-9,-9,U,-9,,2,20211124
NS-IBTS,2006,1,7,127140,Microstomus kitt,330,-9,-9,U,-9,,4,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,170,-9,2,F,61,50,2,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,170,-9,2,F,61,58,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,170,-9,3,F,61,52,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,180,-9,-9,F,61,56,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,180,-9,2,F,61,64,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,190,-9,3,F,62,76,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,200,-9,2,F,61,70,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,200,-9,3,F,61,92,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,200,-9,3,F,61,100,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,200,-9,3,F,62,102,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,200,-9,5,F,61,76,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,210,-9,3,M,62,92,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,210,-9,3,F,61,108,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,210,-9,4,-9,-9,84,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,220,-9,3,F,62,136,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,220,-9,4,F,61,124,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,230,-9,-9,F,61,148,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,230,-9,3,F,61,140,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,240,-9,-9,F,61,156,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,240,-9,3,M,62,144,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,240,-9,4,F,61,158,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,240,-9,5,F,61,168,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,250,-9,3,F,61,180,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,250,-9,4,F,61,200,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,260,-9,-9,F,61,236,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,260,-9,4,F,61,226,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,260,-9,5,M,62,206,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,270,-9,4,M,62,216,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,270,-9,4,F,61,224,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,270,-9,4,F,61,256,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,280,-9,4,F,61,250,2,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,280,-9,4,F,62,462,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,280,-9,5,F,61,262,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,280,-9,5,M,62,270,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,280,-9,6,M,62,233,2,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,290,-9,4,F,61,290,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,300,-9,-9,F,62,278,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,300,-9,5,F,62,320,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,300,-9,5,M,62,322,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,300,-9,7,M,62,300,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,310,-9,-9,F,61,450,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,310,-9,4,-9,-9,312,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,310,-9,5,M,62,302,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,310,-9,5,F,61,330,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,310,-9,5,M,62,375,2,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,310,-9,6,F,61,350,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,310,-9,6,F,61,364,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,320,-9,5,M,61,408,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,320,-9,5,M,62,412,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,320,-9,5,F,62,421,2,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,320,-9,5,F,61,424,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,320,-9,5,M,62,434,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,320,-9,5,F,62,444,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,320,-9,6,M,62,338,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,320,-9,6,M,61,344,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,330,-9,5,F,61,420,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,330,-9,5,F,62,442,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,330,-9,5,F,61,476,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,330,-9,6,F,61,436,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,340,-9,5,M,62,486,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,340,-9,5,F,61,526,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,340,-9,6,F,61,468,2,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,340,-9,6,M,62,488,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,350,-9,-9,F,62,458,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,350,-9,-9,M,62,478,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,350,-9,5,F,62,552,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,350,-9,6,F,62,470,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,350,-9,6,M,62,478,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,350,-9,7,F,62,644,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,350,-9,8,F,61,590,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,360,-9,5,M,62,608,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,360,-9,5,F,62,636,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,360,-9,6,M,62,585,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,360,-9,6,M,62,612,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,360,-9,6,F,62,740,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,360,-9,7,F,61,626,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,370,-9,6,F,61,694,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,370,-9,7,F,62,568,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,380,-9,5,M,62,754,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,390,-9,5,F,62,858,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,390,-9,6,M,62,686,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,390,-9,6,F,62,828,1,20211124
NS-IBTS,2007,1,7,127140,Microstomus kitt,400,-9,6,F,62,824,1,20211124
NS-IBTS,2007,1,6,127140,Microstomus kitt,99,-9,-9,F,1,8,1,20211124
NS-IBTS,2007,1,6,127140,Microstomus kitt,102,-9,-9,F,1,10,1,20211124
NS-IBTS,2007,1,6,127140,Microstomus kitt,102,-9,-9,F,1,12,1,20211124
NS-IBTS,2007,1,6,127140,Microstomus kitt,103,-9,-9,F,1,10,1,20211124
NS-IBTS,2007,1,6,127140,Microstomus kitt,112,-9,-9,F,1,12,1,20211124
NS-IBTS,2007,1,6,127140,Microstomus kitt,170,-9,3,M,62,58,1,20211124
NS-IBTS,2007,1,6,127140,Microstomus kitt,173,-9,-9,F,1,52,1,20211124
NS-IBTS,2007,1,6,127140,Microstomus kitt,190,-9,3,M,62,68,1,20211124
NS-IBTS,2007,1,6,127140,Microstomus kitt,190,-9,3,M,62,78,1,20211124
NS-IBTS,2007,1,6,127140,Microstomus kitt,200,-9,3,F,62,68,1,20211124
NS-IBTS,2007,1,1,127140,Microstomus kitt,190,-9,-9,U,-9,,3,20211124
NS-IBTS,2007,1,1,127140,Microstomus kitt,200,-9,-9,U,-9,,1,20211124
NS-IBTS,2007,1,1,127140,Microstomus kitt,210,-9,-9,U,-9,,3,20211124
NS-IBTS,2007,1,1,127140,Microstomus kitt,220,-9,-9,U,-9,,2,20211124
NS-IBTS,2007,1,1,127140,Microstomus kitt,230,-9,-9,U,-9,,5,20211124
NS-IBTS,2007,1,1,127140,Microstomus kitt,250,-9,-9,U,-9,,3,20211124
NS-IBTS,2007,1,1,127140,Microstomus kitt,270,-9,-9,U,-9,,5,20211124
NS-IBTS,2007,1,1,127140,Microstomus kitt,280,-9,-9,U,-9,,7,20211124
NS-IBTS,2007,1,1,127140,Microstomus kitt,290,-9,-9,U,-9,,3,20211124
NS-IBTS,2007,1,1,127140,Microstomus kitt,300,-9,-9,U,-9,,3,20211124
NS-IBTS,2007,1,1,127140,Microstomus kitt,310,-9,-9,U,-9,,4,20211124
NS-IBTS,2007,1,1,127140,Microstomus kitt,330,-9,-9,U,-9,,3,20211124
NS-IBTS,2007,1,1,127140,Microstomus kitt,340,-9,-9,U,-9,,3,20211124
NS-IBTS,2007,1,1,127140,Microstomus kitt,350,-9,-9,U,-9,,3,20211124
NS-IBTS,2007,1,1,127140,Microstomus kitt,370,-9,-9,U,-9,,1,20211124
NS-IBTS,2007,1,1,127140,Microstomus kitt,380,-9,-9,U,-9,,2,20211124
NS-IBTS,2007,1,1,127140,Microstomus kitt,390,-9,-9,U,-9,,1,20211124
NS-IBTS,2007,1,2,127140,Microstomus kitt,190,-9,-9,U,-9,,1,20211124
NS-IBTS,2007,1,2,127140,Microstomus kitt,200,-9,-9,U,-9,,1,20211124
NS-IBTS,2007,1,2,127140,Microstomus kitt,210,-9,-9,U,-9,,1,20211124
NS-IBTS,2007,1,2,127140,Microstomus kitt,220,-9,-9,U,-9,,2,20211124
NS-IBTS,2007,1,2,127140,Microstomus kitt,223,-9,5,M,3,110,1,20211124
NS-IBTS,2007,1,2,127140,Microstomus kitt,226,-9,5,F,1,118,1,20211124
NS-IBTS,2007,1,2,127140,Microstomus kitt,230,-9,-9,U,-9,,5,20211124
NS-IBTS,2007,1,2,127140,Microstomus kitt,230,-9,3,M,3,114,1,20211124
NS-IBTS,2007,1,2,127140,Microstomus kitt,240,-9,-9,U,-9,,7,20211124
NS-IBTS,2007,1,2,127140,Microstomus kitt,250,-9,-9,U,-9,,10,20211124
NS-IBTS,2007,1,2,127140,Microstomus kitt,260,-9,-9,U,-9,,4,20211124
NS-IBTS,2007,1,2,127140,Microstomus kitt,263,-9,5,F,3,174,1,20211124
NS-IBTS,2007,1,2,127140,Microstomus kitt,270,-9,-9,U,-9,,7,20211124
NS-IBTS,2007,1,2,127140,Microstomus kitt,277,-9,6,F,1,224,1,20211124
NS-IBTS,2007,1,2,127140,Microstomus kitt,280,-9,-9,U,-9,,11,20211124
NS-IBTS,2007,1,2,127140,Microstomus kitt,288,-9,8,M,3,234,1,20211124
NS-IBTS,2007,1,2,127140,Microstomus kitt,290,-9,-9,U,-9,,6,20211124
NS-IBTS,2007,1,2,127140,Microstomus kitt,300,-9,-9,U,-9,,4,20211124
NS-IBTS,2007,1,2,127140,Microstomus kitt,310,-9,-9,U,-9,,2,20211124
NS-IBTS,2007,1,2,127140,Microstomus kitt,330,-9,-9,U,-9,,1,20211124
NS-IBTS,2007,1,2,127140,Microstomus kitt,350,-9,-9,U,-9,,1,20211124
NS-IBTS,2007,1,2,127140,Microstomus kitt,380,-9,-9,U,-9,,1,20211124
NS-IBTS,2007,1,2,127140,Microstomus kitt,394,-9,6,F,2,810,1,20211124
NS-IBTS,2007,1,3,127140,Microstomus kitt,181,-9,4,F,4,58,1,20211124
NS-IBTS,2007,1,3,127140,Microstomus kitt,188,-9,8,F,3,64,1,20211124
NS-IBTS,2007,1,3,127140,Microstomus kitt,202,-9,8,M,3,80,1,20211124
NS-IBTS,2007,1,3,127140,Microstomus kitt,213,-9,5,F,4,96,1,20211124
NS-IBTS,2007,1,3,127140,Microstomus kitt,234,-9,6,F,4,128,1,20211124
NS-IBTS,2007,1,3,127140,Microstomus kitt,238,-9,8,M,3,120,1,20211124
NS-IBTS,2007,1,3,127140,Microstomus kitt,251,-9,6,F,4,162,1,20211124
NS-IBTS,2007,1,3,127140,Microstomus kitt,258,-9,11,F,4,170,1,20211124
NS-IBTS,2007,1,3,127140,Microstomus kitt,277,-9,11,F,4,164,1,20211124
NS-IBTS,2007,1,3,127140,Microstomus kitt,278,-9,11,F,4,190,1,20211124
NS-IBTS,2007,1,4,127140,Microstomus kitt,180,-9,-9,F,61,60,1,20211124
NS-IBTS,2007,1,4,127140,Microstomus kitt,190,-9,-9,F,61,72,1,20211124
NS-IBTS,2007,1,4,127140,Microstomus kitt,200,-9,5,F,61,80,1,20211124
